Excgflg,Mktflg,Date,Rmrf,Smb,Hml
0,A,2010/7/19,0.0234,-0.0018,-0.0009
0,A,2010/7/20,0.0237,0.0017,-0.0023
0,A,2010/7/21,0.0026,-0.0038,0.0026
0,A,2010/7/22,0.0125,0.0034,0.0002
0,A,2010/7/23,0.0039,-0.0013,-0.0051
0,A,2010/7/26,0.0082,0.003,-0.0037
0,A,2010/7/27,-0.0042,0.0022,-0.003
0,A,2010/7/28,0.0235,-0.0026,0.0044
0,A,2010/7/29,0.0052,0.004,0.0025
0,A,2010/7/30,-0.0027,0.0004,0.0012
0,A,2010/8/2,0.0169,0.0021,-0.0031
0,A,2010/8/3,-0.0176,0.002,-0.0053
0,A,2010/8/4,0.0051,0.0068,-0.0076
0,A,2010/8/5,-0.0049,0.006,-0.0072
0,A,2010/8/6,0.0163,0.0018,0
0,A,2010/8/9,0.0068,0.0031,-0.0048
0,A,2010/8/10,-0.0314,-0.0055,0.0018
0,A,2010/8/11,0.0072,0.0057,-0.0014
0,A,2010/8/12,-0.0125,0.0011,-0.0033
0,A,2010/8/13,0.0147,0.0028,-0.0024
0,A,2010/8/16,0.0228,-0.0031,0
0,A,2010/8/17,0.0058,0.0037,-0.0015
0,A,2010/8/18,-0.0014,0.001,-0.0028
0,A,2010/8/19,0.0059,-0.0022,0.0002
0,A,2010/8/20,-0.0195,0.0036,0.0021
0,A,2010/8/23,0.0012,0.0092,-0.0041
0,A,2010/8/24,0.0065,0.0036,0.0002
0,A,2010/8/25,-0.0218,0.0042,-0.0073
0,A,2010/8/26,0.0038,0.0018,-0.0035
0,A,2010/8/27,0.0037,-0.0019,-0.0024
0,A,2010/8/30,0.0205,0.0008,-0.0049
0,A,2010/8/31,-0.0016,0.009,-0.0067
0,A,2010/9/1,-0.0079,-0.0012,-0.0013
0,A,2010/9/2,0.0153,0.005,0.0003
0,A,2010/9/3,0.0023,0.007,-0.0081
0,A,2010/9/6,0.0111,-0.0133,0.0127
0,A,2010/9/7,0.0032,0.0034,0.0006
0,A,2010/9/8,0.001,0.002,-0.0082
0,A,2010/9/9,-0.0155,-0.0003,-0.0056
0,A,2010/9/10,0.0044,0.0051,-0.0071
0,A,2010/9/13,0.0124,0.0023,-0.0028
0,A,2010/9/14,0.0011,0.0031,-0.0013
0,A,2010/9/15,-0.0167,-0.0001,0.0025
0,A,2010/9/16,-0.0209,-0.0051,0.0029
0,A,2010/9/17,0.0003,-0.004,-0.0056
0,A,2010/9/20,-0.0053,-0.0052,-0.0003
0,A,2010/9/21,0.0011,-0.004,0.0004
0,A,2010/9/27,0.0182,0.0038,-0.0053
0,A,2010/9/28,-0.0066,0.0016,-0.0084
0,A,2010/9/29,-0.0044,-0.0068,0.0025
0,A,2010/9/30,0.0173,-0.0035,0.0004
0,A,2010/10/8,0.0297,-0.0084,-0.0026
0,A,2010/10/11,0.0195,-0.0088,0.0194
0,A,2010/10/12,0.0098,-0.0083,0.0041
0,A,2010/10/13,0.0087,0.0016,0.0067
0,A,2010/10/14,-0.0053,-0.0212,0.0113
0,A,2010/10/15,0.0258,-0.0192,0.0125
0,A,2010/10/18,-0.0067,-0.0068,0.0108
0,A,2010/10/19,0.0217,0.0011,-0.0123
0,A,2010/10/20,0.0041,-0.0021,-0.0186
0,A,2010/10/21,-0.0027,0.0054,0.0024
0,A,2010/10/22,0.0019,0.0039,-0.0077
0,A,2010/10/25,0.0267,-0.0048,-0.0018
0,A,2010/10/26,-0.0025,0.0105,-0.0037
0,A,2010/10/27,-0.0139,0.0099,-0.0011
0,A,2010/10/28,-0.001,0.0078,0.0018
0,A,2010/10/29,-0.0013,0.0075,-0.0024
0,A,2010/11/1,0.0274,-0.0044,-0.0032
0,A,2010/11/2,-0.005,0.0061,0.0003
0,A,2010/11/3,-0.0097,0.0073,-0.0033
0,A,2010/11/4,0.0188,0.0019,-0.0032
0,A,2010/11/5,0.0142,0.0044,0.0023
0,A,2010/11/8,0.0119,0.007,0.0028
0,A,2010/11/9,-0.0056,0.0056,-0.0125
0,A,2010/11/10,-0.0034,0.004,-0.01
0,A,2010/11/11,0.0081,-0.0206,0.0212
0,A,2010/11/12,-0.0538,-0.0116,0.0056
0,A,2010/11/15,0.0131,0.0154,-0.0119
0,A,2010/11/16,-0.0437,0.0123,-0.004
0,A,2010/11/17,-0.0252,-0.0045,0.0117
0,A,2010/11/18,0.0131,0.0005,-0.0059
0,A,2010/11/19,0.0132,0.0124,-0.0129
0,A,2010/11/22,0.0018,0.0128,-0.0055
0,A,2010/11/23,-0.019,0.0057,-0.0084
0,A,2010/11/24,0.0141,0.0029,-0.0088
0,A,2010/11/25,0.0116,-0.0027,0.0082
0,A,2010/11/26,-0.0081,0.004,-0.0113
0,A,2010/11/29,0.0001,0.0035,-0.0031
0,A,2010/11/30,-0.018,-0.0137,0.0097
0,A,2010/12/1,-0.0002,0.0059,-0.0003
0,A,2010/12/2,0.0068,0.0023,0.0029
0,A,2010/12/3,-0.0013,-0.0051,0.0042
0,A,2010/12/6,0.0018,-0.0159,0.0168
0,A,2010/12/7,0.0085,0.0001,-0.0037
0,A,2010/12/8,-0.0084,0.0046,-0.003
0,A,2010/12/9,-0.0156,-0.0023,0.0047
0,A,2010/12/10,0.0111,0.0015,-0.0008
0,A,2010/12/13,0.0302,-0.0065,0.0067
0,A,2010/12/14,0.0036,0.0098,-0.0041
0,A,2010/12/15,-0.0057,0.0035,-0.0053
0,A,2010/12/16,-0.0034,0.0032,0.0002
0,A,2010/12/17,-0.0018,0.0045,0.0005
0,A,2010/12/20,-0.0146,0.0024,-0.0013
0,A,2010/12/21,0.0172,-0.0041,0.0116
0,A,2010/12/22,-0.0091,0.0014,0.0038
0,A,2010/12/23,-0.0106,-0.0056,0.0023
0,A,2010/12/24,-0.0095,-0.0064,0.0073
0,A,2010/12/27,-0.0211,-0.0091,0.0018
0,A,2010/12/28,-0.0181,-0.0062,-0.0009
0,A,2010/12/29,0.0086,0.0084,-0.0034
0,A,2010/12/30,0.0034,0.0001,-0.0001
0,A,2010/12/31,0.0181,0.0008,-0.0052
0,A,2011/1/4,0.0158,0.0008,0.0058
0,A,2011/1/5,-0.0045,0.0075,-0.001
0,A,2011/1/6,-0.0054,0.004,-0.0002
0,A,2011/1/7,0.0025,-0.0023,0.0036
0,A,2011/1/10,-0.0194,-0.0046,0.0063
0,A,2011/1/11,0.0028,-0.0102,0.0101
0,A,2011/1/12,0.0057,0.0038,0.0008
0,A,2011/1/13,0.0022,-0.0054,-0.0025
0,A,2011/1/14,-0.0142,-0.004,0.0049
0,A,2011/1/17,-0.0333,-0.0093,0.0058
0,A,2011/1/18,0.0015,0.0037,-0.0075
0,A,2011/1/19,0.0192,0.0015,-0.0012
0,A,2011/1/20,-0.0312,0.0006,0.0047
0,A,2011/1/21,0.0121,0.0011,0.0102
0,A,2011/1/24,-0.0108,-0.0092,0.0186
0,A,2011/1/25,-0.008,-0.0118,0.0008
0,A,2011/1/26,0.0125,0.0022,-0.0004
0,A,2011/1/27,0.015,-0.0049,-0.0039
0,A,2011/1/28,0.0034,0.006,-0.0075
0,A,2011/1/31,0.0124,-0.0005,-0.0006
0,A,2011/2/1,0.003,-0.0011,-0.0005
0,A,2011/2/9,-0.0096,0.0095,-0.0032
0,A,2011/2/10,0.0197,0.0044,-0.0111
0,A,2011/2/11,0.0051,0.0057,-0.0009
