Stkcd,Stknme,EPS,CFOPS,NAPS,DAR,EM,CAR,CLR,GP,NPM,ROE,ROTA,CR,QR,ER,IT,ART,CAT,FAT,TTC,Nnindcd,WindInd
600500,中化国际,0.41,0.4577,4.9772,66.3614,2.9728,47.2895,66.0065,3.6184,1.3292,9.0501,2.5966,1.0796,0.8386,3.0293,15.4647,21.1814,3.5726,11.0205,1.9536,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600501,航天晨光,0.08,0.1594,2.9651,67.1747,3.0464,63.8562,99.0449,16.0527,0.9262,2.8108,0.9236,0.9598,0.691,2.3594,5.2421,3.0981,1.561,5.1099,0.9972,CSRC汽车制造业,Wind资本货物
600502,安徽水利,0.51,-0.2735,4.0483,78.5672,4.6657,77.4567,91.3412,17.8954,3.9661,20.7712,3.6246,1.0793,0.6704,4.7342,2.8617,3.1459,1.1847,9.4018,0.9139,CSRC土木工程建筑业,Wind资本货物
600503,华丽家族,0.0311,0.1627,1.7275,42.997,1.7543,82.5499,88.6524,31.1114,5.8065,1.8245,1.2784,2.1657,0.0789,0.9404,0.2011,18.5385,0.2744,215.7334,0.2202,CSRC房地产业,Wind房地产
600505,西昌电力,0.197,0.2518,2.2604,51.0716,2.0438,16.7497,57.2653,23.5257,11.415,9.0484,4.1255,0.5727,0.569,1.1573,213.3949,38.4002,2.995,0.7453,0.3614,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600506,香梨股份,-0.038,-0.3055,1.9099,14.0445,1.1634,41.3575,76.6111,8.8316,-10.318,-1.9707,-1.9027,3.8438,3.0473,0.1647,2.6185,4.0191,0.4613,0.9921,0.1844,CSRC农业,Wind食品、饮料与烟草
600507,方大特钢,0.4,0.391,2.5772,63.6919,2.7542,47.1771,99.1412,12.0563,4.0213,17.0024,5.2619,0.7471,0.5674,1.9985,9.3461,53.2787,2.9081,3.7067,1.3085,CSRC黑色金属冶炼和压延加工业,Wind材料Ⅱ
600508,上海能源,1.28,2.0391,10.996,25.8858,1.3493,20.2334,70.1105,24.375,9.6191,12.1258,8.6005,1.1149,0.7605,0.368,10.6845,44.7956,3.7726,1.5902,0.8941,CSRC煤炭开采和洗选业,Wind能源Ⅱ
600509,天富热电,0.39,0.0204,3.5868,72.734,3.6676,47.3293,36.7009,25.8102,8.8806,11.1596,3.1248,1.773,1.6203,2.8134,5.997,8.4499,0.7797,0.976,0.3519,CSRC电力、热力生产和供应业,Wind公用事业Ⅱ
600510,黑牡丹,0.43,-0.9647,5.3312,60.8757,2.556,93.2592,69.6508,21.2917,10.5806,8.3718,3.6319,2.1995,1.2628,1.641,0.6658,5.2187,0.3744,7.2597,0.3433,CSRC房地产业,Wind房地产
600511,国药股份,0.7014,0.3882,3.7505,58.9961,2.4388,82.1465,93.3595,6.6108,4.0034,20.4471,8.4812,1.4914,1.0619,1.4979,8.7209,5.8401,2.5678,40.019,2.1185,CSRC批发业,Wind医疗保健设备与服务
600512,腾达建设,0.03,-0.4344,1.4213,77.5814,4.4606,80.5919,80.7045,14.7132,1.3984,1.8719,0.4305,1.2872,0.4085,3.5239,0.5072,3.1215,0.3899,3.8172,0.3078,CSRC土木工程建筑业,Wind资本货物
600513,联环药业,0.22,0.599,2.4818,20.9353,1.2648,68.2653,100,54.4702,8.8083,8.4636,6.6514,3.2608,2.7333,0.2651,2.9636,3.5245,1.1186,3.5417,0.7551,CSRC医药制造业,Wind制药、生物科技与生命科学
600515,海岛建设,0.434,0.2916,2.8341,59.3565,2.4604,27.7553,61.9304,30.1804,17.7389,22.8662,6.5528,0.755,0.7434,1.4604,59.5664,18.9963,1.4169,0.7702,0.3694,CSRC零售业,Wind零售业
600516,方大炭素,0.2998,0.6219,3.2169,46.518,1.8698,64.585,95.8615,32.7426,11.9506,12.3354,6.2786,1.4483,0.9422,0.9302,1.4458,5.0684,0.8039,2.5727,0.5254,CSRC非金属矿物制品业,Wind材料Ⅱ
600517,置信电气,0.246,0.4592,1.8304,38.4176,1.6238,77.9318,100,23.9359,12.4261,12.8964,9.6004,2.0285,1.6731,0.7342,3.6454,2.5394,1.0108,8.7794,0.7726,CSRC电气机械和器材制造业,Wind资本货物
600518,康美药业,0.655,0.4586,4.8124,41.0682,1.6969,64.1152,50.8483,25.1595,12.9094,14.5375,8.684,3.0703,2.121,0.697,3.0576,11.1291,1.0649,5.1192,0.6727,CSRC医药制造业,Wind制药、生物科技与生命科学
600519,贵州茅台,12.82,11.4829,32.8938,21.2101,1.2692,80.5034,99.8138,92.2726,52.9513,45.0047,35.0654,3.8026,2.788,0.2795,0.2426,2639.7862,0.826,4.3251,0.6622,CSRC酒、饮料和精制茶制造业,Wind食品、饮料与烟草
600520,中发科技,-0.0424,-0.0766,2.0387,50.8356,2.034,56.9592,82.1361,25.1657,-1.1229,-2.2539,-0.5811,1.3641,1.0623,1.3766,2.6871,2.525,0.9342,1.7645,0.5175,CSRC电气机械和器材制造业,Wind资本货物
600521,华海药业,0.48,0.4454,3.5453,39.4071,1.6504,51.4488,96.4018,40.2684,16.8038,19.6658,11.685,1.3543,0.6858,0.6531,1.6892,4.4466,1.3274,2.7937,0.6954,CSRC医药制造业,Wind制药、生物科技与生命科学
600522,中天科技,0.598,0.3628,6.3894,39.4432,1.6513,66.715,93.9268,21.4975,7.691,9.5224,6.048,1.8008,1.2839,0.69,3.3219,3.113,1.2182,3.4399,0.7864,CSRC电气机械和器材制造业,Wind技术硬件与设备
600523,贵航股份,0.4,0.6261,5.717,37.1984,1.5923,62.5197,72.5596,20.0302,5.9891,7.0998,5.4849,2.3163,1.5825,0.6361,3.5635,4.7509,1.4101,4.495,0.9158,CSRC汽车制造业,Wind汽车与汽车零部件
600525,长园集团,0.25,0.2446,2.6071,43.5834,1.7725,60.545,94.1574,43.0293,9.2389,9.7723,5.6572,1.4754,1.1657,0.8279,2.948,1.8483,1.0333,3.9708,0.6123,CSRC计算机、通信和其他电子设备制造业,Wind资本货物
600526,菲达环保,0.14,0.5589,3.9063,74.0701,3.8566,86.2394,98.9969,15.8065,1.1548,3.5355,0.8659,1.1761,0.5098,2.8769,1.2705,5.1926,0.864,9.8374,0.7499,CSRC专用设备制造业,Wind资本货物
600527,江南高纤,0.27,0.298,2.0376,4.6664,1.0489,51.0344,78.0684,16.1678,14.3503,14.1416,13.2501,14.0089,10.3625,0.0497,5.5486,43.0496,1.6596,3.5065,0.9233,CSRC化学纤维制造业,Wind材料Ⅱ
600528,中铁二局,0.3982,-0.1359,3.9054,85.6376,6.9626,89.1005,96.0391,5.4473,1.093,10.6018,1.7442,1.0833,0.6912,6.6283,4.7201,5.9634,1.7751,35.2929,1.5958,CSRC土木工程建筑业,Wind资本货物
600529,山东药玻,0.47,0.1108,7.5388,25.7182,1.3462,50.838,99.9554,27.757,8.1622,6.3232,4.693,1.9776,1.3069,0.3462,2.5047,4.1644,1.1433,1.3488,0.575,CSRC非金属矿物制品业,Wind材料Ⅱ
600530,交大昂立,0.267,0.0641,4.7132,17.7205,1.2154,16.1618,72.2347,65.4671,22.2423,5.8721,4.704,1.2626,0.9841,0.2235,1.9724,7.4188,1.3385,1.5586,0.2115,CSRC医药制造业,Wind食品、饮料与烟草
